,birthArea,birthDate,currentNationalTeamId,currentTeamId,firstName,foot,height,lastName,middleName,passportArea,role,shortName,weight,wyId
10,"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",1994-03-17,null,2975,Marcel,right,177,Sabitzer,,"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Sabitzer,74,65596
11,"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",1990-03-14,null,3770,Kolbeinn,right,186,Sig\u00fe\u00f3rsson,,"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",K. Sig\u00fe\u00f3rsson,84,66
12,"{'name': 'Mali', 'id': '466', 'alpha3code': 'MLI', 'alpha2code': 'ML'}",1992-01-01,null,3795,Charles,left,180,Traor\u00e9,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",C. Traor\u00e9,74,393284
13,"{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}",1985-09-29,4849,2443,Niklas,left,183,Moisander,,"{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",N. Moisander,75,77
14,"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",1989-08-21,18138,2455,Charlison,right,191,Benschop,,"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",C. Benschop,91,91
15,"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",1990-10-27,7839,1646,Johann ,left,186,Berg Gu\u00f0munds\u00adson,,"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",J. Gu\u00f0munds\u00adson,77,93
16,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1987-01-04,null,677,Przemys\u0142aw,right,194,Tyto\u0144,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",P. Tyto\u0144,83,99
17,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",1987-05-20,null,3766,Marcelo Ant\u00f4nio,right,191,Guedes Filho,,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Marcelo,85,102
18,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1994-03-30,null,2462,Jetro,left,169,Willems,,"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",J. Willems,65,110
19,"{'name': 'Iraq', 'id': '368', 'alpha3code': 'IRQ', 'alpha2code': 'IQ'}",1993-12-19,17759,3163,Ali Adnan Kadhim,left,186,Al Tameemi,,"{'name': 'Iraq', 'id': '368', 'alpha3code': 'IRQ', 'alpha2code': 'IQ'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Ali Adnan,78,131184
20,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1990-02-13,null,3158,Kevin,left,186,Strootman,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",K. Strootman,78,114
21,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1994-02-13,664,3766,Memphis,right,176,Depay,,"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Depay,78,118
22,"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",1987-05-06,5629,3187,Dries,right,169,Mertens,,"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",D. Mertens,61,122
23,"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",1986-07-03,7047,3780,Ola,right,192,Toivonen,,"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",O. Toivonen,78,123
24,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1992-02-05,null,3162,Stefan,right,189,de Vrij,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",S. de Vrij,78,130
25,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1985-01-27,16216,16469,Karim,right,179,El Ahmadi Al Aroos,,"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",K. El Ahmadi,78,142
26,"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",1992-04-15,7047,696,John,right,185,Guidetti,,"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",J. Guidetti,79,151
27,"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}",1988-08-11,4687,4535,Volkan,right,192,Babacan,,"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",V. Babacan,86,32923
28,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1991-07-10,null,2481,Jeffrey,right,188,Gouweleeuw,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",J. Gouweleeuw,78,159
29,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",1992-01-30,null,3219,Filip,right,181,\u0110uri\u010di\u0107,,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",F. \u0110uri\u010di\u0107,72,174
30,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",1986-10-30,14496,2457,Peter,right,176,Pekar\u00edk,,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",P. Pekar\u00edk,70,32959
31,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",1988-06-10,null,3194,Jago\u0161,left,195,Vukovi\u0107,,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",J. Vukovi\u0107,93,192
32,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1987-03-31,16216,16470,Nordin,right,178,Amrabat,,"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",N. Amrabat,77,32968
33,"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",1991-03-01,null,3783,Christian,right,182,Kouakou Yao,,"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",C. Kouakou,72,131321
34,"{'name': 'Venezuela', 'id': '862', 'alpha3code': 'VEN', 'alpha2code': 'VE'}",1988-11-20,null,683,Roberto Jos\u00e9,right,175,Rosales Altuve,,"{'name': 'Venezuela', 'id': '862', 'alpha3code': 'VEN', 'alpha2code': 'VE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R. Rosales,71,254
35,"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",1989-08-02,5629,1627,Nacer,right,187,Chadli,,"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",N. Chadli,80,261
36,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1994-06-05,null,3172,Robin,left,183,Gosens,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R. Gosens,76,295176
37,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1991-09-11,null,3770,Yacine,right,188,Bammou,,"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Y. Bammou,78,229697
38,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1995-02-03,null,3783,Florian,left,193,Le Joncour,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",F. Le Joncour,86,328021
39,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",1992-02-16,null,8743,Andr\u00e9,right,182,Ramalho Silva,,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Andr\u00e9 Ramalho,78,65880
40,"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",1999-01-04,null,3163,Davide,left,180,Borsellini,,"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",D. Borsellini,69,393566
41,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1988-06-28,16823,1651,Leon-Aderemi,right,190,Balogun,,"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",L. Balogun,81,16443
42,"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",1996-06-07,17527,3166,Godfred,right,175,Donsah,,"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",G. Donsah,70,295273
43,"{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}",1991-06-29,null,3795,Hyun-Jun,right,190,Suk,,"{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Suk Hyun-Jun,82,382
44,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",1988-11-20,17322,9,Du\u0161an,left,181,Tadi\u0107,,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",D. Tadi\u0107,76,383
45,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1990-05-04,null,3163,Bram,left,190,Nuytinck,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",B. Nuytinck,80,394
46,"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",1986-05-27,7712,9,Lasse,right,177,Sch\u00f6ne,,"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",L. Sch\u00f6ne,78,405
47,"{'name': 'Gambia', 'id': '270', 'alpha3code': 'GMB', 'alpha2code': 'GM'}",1998-11-14,null,3777,Ablie,left,166,Jallow,,"{'name': 'Gambia', 'id': '270', 'alpha3code': 'GMB', 'alpha2code': 'GM'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Jallow,56,376908
48,"{'name': 'Romania', 'id': '642', 'alpha3code': 'ROU', 'alpha2code': 'RO'}",1987-06-28,null,4502,Bogdan Sorin,right,183,Stancu,,"{'name': 'Romania', 'id': '642', 'alpha3code': 'ROU', 'alpha2code': 'RO'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",B. Stancu,75,33235
49,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1997-12-06,null,2482,Gregor,right,194,Kobel,,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",G. Kobel,90,328190
50,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1996-11-20,6697,2454,Denis Lemi,right,191,Zakaria Lako Lado,,"{'name': 'Congo DR', 'id': '180', 'alpha3code': 'COD', 'alpha2code': 'CD'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",D. Zakaria,80,360992
51,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1991-03-29,null,3172,Marten,right,185,de Roon,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. de Roon,76,625
52,"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",1996-05-03,16823,1609,Alex,right,180,Iwobi,,"{'name': 'England', 'id': '0', 'alpha3code': 'XEN', 'alpha2code': ''}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Iwobi,75,230020
53,"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",1996-06-19,3757,3158,Lorenzo,right,186,Pellegrini,,"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",L. Pellegrini,77,328333
54,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1996-02-15,null,3194,Mohamed Salim,left,183,Fares,,"{'name': 'Algeria', 'id': '12', 'alpha3code': 'DZA', 'alpha2code': 'DZ'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Fares,75,328336
55,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",1994-05-04,null,3772,Ot\u00e1vio Henrique,right,176,Passos Santos,,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Ot\u00e1vio,73,295569
56,"{'name': 'Argentina', 'id': '32', 'alpha3code': 'ARG', 'alpha2code': 'AR'}",1996-01-17,null,714,Hern\u00e1n Dar\u00edo,right,180,Toledo,,"{'name': 'Argentina', 'id': '32', 'alpha3code': 'ARG', 'alpha2code': 'AR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",H. Toledo,72,393881
57,"{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}",1988-08-24,12913,1619,Maya,right,189,Yoshida,,"{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Yoshida,78,703
58,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1997-08-05,null,3787,Bryan,right,189,Passi,,"{'name': 'Congo', 'id': '178', 'alpha3code': 'COG', 'alpha2code': 'CG'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",B. Passi,78,426692
59,"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",1997-10-21,16216,2449,Hamza,left,179,Mendyl,,"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",H. Mendyl,73,426702
60,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1997-07-01,null,3779,Anthony,right,184,Caci,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Caci,70,426714
61,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",1990-07-12,null,712,Miguel \u00c1ngel,right,182,Guerrero Mart\u00edn,,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Guerrero,77,5481
62,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",1994-02-09,14496,692,R\u00f3bert,left,180,Maz\u00e1\u0148,,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R. Maz\u00e1\u0148,75,786
63,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1997-03-04,4425,3779,Martin,right,183,Terrier,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Terrier,71,394006
64,"{'name': 'Cameroon', 'id': '120', 'alpha3code': 'CMR', 'alpha2code': 'CM'}",1997-05-05,null,,Th\u00e9odore,right,184,Efouba Ayissi,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",T. Efouba Ayissi,75,394008
65,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1995-12-16,16823,9607,Tyronne,right,187,Ebuehi,,"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",T. Ebuehi,72,332821
66,"{'name': 'Martinique', 'id': '474', 'alpha3code': 'MTQ', 'alpha2code': 'MQ'}",1996-04-11,null,3775,Patrick,right,170,Burner,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",P. Burner,65,328488
67,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1996-08-14,4425,3795,Samuel,right,168,Grandsir,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",S. Grandsir,64,295761
68,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",1997-05-12,null,696,V\u00edctor,right,0,L\u00f3pez Ib\u00e1\u00f1ez,,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",V\u00edctor L\u00f3pez,0,404285
69,"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",1991-07-19,null,3775,Jean Micha\u00ebl,right,168,Seri,,"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",J. Seri,65,131959
70,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",1994-12-18,null,712,Gerard,left,187,Gumbau Garriga,,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Gumbau,77,263091
71,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",1997-07-12,1604,756,Pablo,right,173,Maffeo Becerra,,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Pablo Maffeo,68,263105
72,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1987-11-04,13869,13505,Artur,right,189,J\u0119drzejczyk,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",A. J\u0119drzejczyk,78,99381
73,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1989-08-19,13869,13887,Maciej,left,173,Rybus,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Rybus,75,99391
74,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1992-01-15,null,2445,Marcin,left,192,Kami\u0144ski,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Kami\u0144ski,82,99410
75,"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",1992-03-17,null,2460,Karim,right,188,Onisiwo,,"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",K. Onisiwo,76,66654
76,"{'name': 'Latvia', 'id': '428', 'alpha3code': 'LVA', 'alpha2code': 'LV'}",1988-01-13,null,,Artjoms,left,183,Rud\u0146evs,,"{'name': 'Russia', 'id': '643', 'alpha3code': 'RUS', 'alpha2code': 'RU'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",A. Rud\u0146evs,81,99425
77,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1991-05-05,null,3158,\u0141ukasz,right,190,Skorupski,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",\u0141. Skorupski,83,99430
